@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute target {1,2}

@data
0.183848,0.1693,0.111112,0.028679,-0.044057,-0.102245,-0.121641,-0.121641,-0.121641,-0.136189,-0.155585,-0.160434,-0.136189,-0.092547,-0.044057,0.009282,0.052924,0.086867,0.111112,0.130508,0.140206,0.130508,0.12081,0.101414,0.086867,0.07232,0.057773,2
0.229289,0.222843,0.203506,0.113263,-0.002763,-0.05433,-0.05433,-0.034992,-0.034992,-0.060775,-0.105897,-0.16391,-0.183247,-0.144572,-0.073667,-0.015654,0.010129,0.016575,0.023021,0.042359,0.05525,0.05525,0.048805,0.048805,0.042359,0.023021,-0.002763,1
0.183921,0.205307,0.178575,0.119763,0.039564,-0.040634,-0.099446,-0.110139,-0.094099,-0.07806,-0.067367,-0.07806,-0.083406,-0.056673,-0.008554,0.050258,0.09303,0.125109,0.146495,0.157189,0.162535,0.151842,0.130456,0.103723,0.071644,0.050258,0.034218,2
0.19962,0.225041,0.212331,0.165724,0.10217,0.025906,-0.033411,-0.058833,-0.058833,-0.06307,-0.07578,-0.088491,-0.101202,-0.092728,-0.058833,-0.00799,0.03438,0.055564,0.072512,0.085223,0.10217,0.110644,0.106407,0.097934,0.085223,0.072512,0.059801,2
0.035666,0.073209,0.073209,0.054438,-0.015956,-0.076964,-0.100428,-0.081657,-0.067578,-0.076964,-0.114507,-0.15205,-0.166129,-0.147357,-0.105121,-0.062885,-0.044113,-0.030035,-0.001877,0.040359,0.068517,0.082595,0.087288,0.091981,0.101367,0.110753,0.120139,1
0.233314,0.211642,0.146626,0.072942,-0.005077,-0.078762,-0.117772,-0.122106,-0.122106,-0.12644,-0.135109,-0.143778,-0.130775,-0.100434,-0.065759,-0.031084,-0.000743,0.025263,0.05127,0.068607,0.077276,0.072942,0.059938,0.046935,0.042601,0.042601,0.033932,2
0.105375,0.076143,0.022551,-0.05053,-0.118739,-0.162587,-0.172331,-0.147971,-0.128483,-0.128483,-0.147971,-0.162587,-0.147971,-0.104123,-0.05053,0.003062,0.046911,0.085887,0.124864,0.154096,0.168712,0.16384,0.154096,0.144352,0.144352,0.149224,0.154096,2
0.099695,0.066777,0.005055,-0.064896,-0.138962,-0.192454,-0.221258,-0.217143,-0.208914,-0.208914,-0.217143,-0.217143,-0.204799,-0.163651,-0.106044,-0.052552,-0.007289,0.029744,0.062662,0.091466,0.107925,0.120269,0.120269,0.116155,0.116155,0.124384,0.132614,2
0.126726,0.109378,0.057333,-0.023627,-0.098804,-0.139283,-0.139283,-0.116152,-0.110369,-0.116152,-0.139283,-0.156632,-0.139283,-0.093021,-0.040975,-0.012061,0.016853,0.045767,0.086247,0.120944,0.149858,0.161423,0.161423,0.155641,0.144075,0.120944,0.103595,2
0.09543,0.079372,0.079372,0.063314,0.039227,0.007111,-0.041062,-0.05712,-0.049091,-0.073178,-0.113323,-0.153468,-0.145439,-0.089236,-0.000918,0.063314,0.087401,0.087401,0.087401,0.079372,0.071343,0.063314,0.047256,0.039227,0.01514,-0.000918,-0.025005,1
