@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute target {1,2}

@data
0.182878,0.52425,0.52425,0.353564,0.182878,-0.115823,-0.158494,-0.201166,-0.158494,-0.115823,-0.243837,-0.286508,-0.286508,-0.201166,2
-0.117499,0.109396,0.563186,0.61991,-0.117499,-0.344394,-0.230947,-0.117499,-0.117499,-0.117499,0.222843,0.16612,-0.174223,-0.344394,1
0.04705,0.517546,0.658695,0.423447,0.329347,0.141149,-0.141149,-0.235248,-0.235248,-0.235248,-0.188198,-0.188198,-0.517546,-0.376397,2
0.085223,0.383502,0.607212,0.458072,0.271648,0.085223,-0.175772,-0.287627,-0.287627,-0.213057,-0.250342,-0.213057,-0.213057,-0.250342,2
-0.35103,0.35103,0.557518,0.433625,0.185839,-0.020649,-0.020649,0.185839,0.268435,0.268435,-0.103244,-0.433625,-0.640113,-0.681411,1
0.36508,0.593936,0.479508,0.326937,0.250652,0.021796,-0.245203,-0.283346,-0.283346,-0.283346,-0.359631,-0.321488,-0.20706,-0.05449,2
0.367491,0.538987,0.367491,0.281743,0.024499,-0.189871,-0.232745,-0.275619,-0.104123,-0.104123,-0.189871,-0.361367,-0.189871,0.067373,2
0.364688,0.509528,0.292267,0.183637,-0.033624,-0.069834,-0.287095,-0.323305,-0.178464,-0.250884,-0.214674,-0.178464,0.038797,0.147427,2
0.574317,0.523428,0.42165,0.268984,-0.036349,-0.087238,-0.239905,-0.087238,-0.138127,-0.189016,-0.392571,-0.392571,-0.290793,0.065429,2
0.227105,0.085795,0.227105,0.29776,0.29776,0.085795,-0.196824,-0.691409,-0.408789,-0.12617,-0.055515,0.01514,0.085795,0.15645,1
0.119618,0.433614,0.642945,0.53828,0.53828,0.398726,0.154506,-0.124602,-0.368821,-0.508375,-0.578152,-0.578152,-0.438598,-0.229267,2
-0.015052,0.448548,0.532839,0.532839,0.448548,-0.057197,-0.183634,-0.099343,-0.015052,-0.015052,-0.099343,-0.31007,-0.647234,-0.520798,1
0.268548,0.479765,0.479765,0.395278,0.015087,-0.0694,-0.153887,-0.19613,-0.19613,-0.19613,-0.449591,-0.365104,-0.111643,0.099574,2
0.238184,0.696689,0.738371,0.571642,0.196502,-0.095274,-0.262003,-0.262003,-0.345367,-0.345367,-0.303685,-0.428732,-0.387049,-0.011909,2
0.24859,0.500176,0.500176,0.458245,0.20666,-0.086857,-0.170719,-0.296511,-0.254581,-0.21265,-0.170719,-0.422304,-0.21265,-0.086857,2
-0.068277,0.266279,0.55304,0.744215,0.457453,0.122898,-0.307245,-0.450625,-0.402832,-0.211657,-0.11607,-0.211657,-0.307245,-0.068277,2
0.12325,0.251064,0.251064,0.251064,0.251064,-0.004565,-0.260194,-0.068472,-0.132379,-0.196287,-0.260194,-0.196287,-0.132379,0.12325,1
-0.01976,0.625742,0.533527,0.256883,-0.01976,-0.01976,-0.01976,0.164669,0.164669,-0.065868,-0.296404,-0.573048,-0.434726,-0.296404,2
-0.705179,0.282072,0.752191,0.893227,0.611155,0.282072,-0.141036,-0.094024,-0.047012,0.141036,0,-0.282072,-0.752191,-0.940239,1
0.276189,0.548488,0.385109,0.276189,0.05835,-0.15949,-0.268409,-0.268409,-0.15949,-0.15949,-0.268409,-0.377329,-0.10503,0.221729,2
