@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute target {1,2}

@data
-0.021651,-0.036365,-0.073151,-0.120973,-0.15408,-0.176151,-0.176151,-0.165115,-0.146723,-0.132008,-0.120973,-0.10258,-0.07683,2
0.002794,0.012574,0.022354,-0.011876,-0.075445,-0.109675,-0.124345,-0.119455,-0.099895,-0.080335,-0.080335,-0.104785,-0.119455,1
0.015413,0.015413,-0.000811,-0.029203,-0.065707,-0.098155,-0.130603,-0.142771,-0.138715,-0.122491,-0.098155,-0.081931,-0.069763,2
-0.004775,-0.00799,-0.024061,-0.062631,-0.101202,-0.136558,-0.155844,-0.162272,-0.15263,-0.133344,-0.110845,-0.091559,-0.078702,2
-0.102532,-0.120333,-0.148814,-0.170175,-0.195096,-0.202216,-0.195096,-0.166615,-0.134573,-0.109652,-0.091852,-0.077611,-0.04913,1
-0.009113,-0.025554,-0.0683,-0.111046,-0.147216,-0.176809,-0.19325,-0.19325,-0.176809,-0.153792,-0.127487,-0.107758,-0.084741,2
-0.081946,-0.093034,-0.118907,-0.141083,-0.159563,-0.166955,-0.159563,-0.148475,-0.126299,-0.09673,-0.070858,-0.044986,-0.015418,2
-0.102922,-0.11853,-0.146624,-0.174718,-0.199691,-0.205934,-0.202812,-0.184083,-0.15911,-0.131016,-0.099801,-0.068585,-0.03737,2
-0.056529,-0.074077,-0.100399,-0.135495,-0.161816,-0.17059,-0.157429,-0.131108,-0.104786,-0.074077,-0.056529,-0.052142,-0.034594,2
-0.039678,-0.015314,-0.015314,-0.039678,-0.076224,-0.094497,-0.094497,-0.070133,-0.027496,0.002958,0.01514,0.002958,-0.003132,1
-0.041591,-0.047606,-0.06866,-0.104751,-0.140843,-0.176935,-0.200996,-0.216034,-0.207011,-0.188965,-0.161896,-0.125805,-0.089713,2
-0.114602,-0.110969,-0.096436,-0.085537,-0.110969,-0.154568,-0.161834,-0.147302,-0.121869,-0.10007,-0.081903,-0.074637,-0.052838,1
-0.061388,-0.068672,-0.101447,-0.145147,-0.188847,-0.21798,-0.236189,-0.232547,-0.221622,-0.199772,-0.170639,-0.141505,-0.10873,2
-0.031313,-0.042093,-0.070839,-0.106772,-0.142705,-0.160672,-0.164265,-0.160672,-0.139112,-0.110366,-0.081619,-0.063653,-0.042093,2
-0.023238,-0.034082,-0.059385,-0.088303,-0.120835,-0.138909,-0.142524,-0.13168,-0.113606,-0.084688,-0.063,-0.048541,-0.030467,2
-0.002354,-0.002354,-0.010595,-0.022955,-0.043556,-0.060036,-0.064156,-0.055916,-0.035315,-0.018835,-0.010595,-0.006475,-0.002354,2
-0.068472,-0.062963,-0.062963,-0.068472,-0.085,-0.112546,-0.107037,-0.096018,-0.085,-0.073981,-0.051944,-0.040926,-0.029907,1
-0.014196,-0.030095,-0.057918,-0.077792,-0.081767,-0.073817,-0.061893,-0.053943,-0.045994,-0.042019,-0.045994,-0.042019,-0.02612,2
-0.100508,-0.08835,-0.092403,-0.112667,-0.141036,-0.1613,-0.165352,-0.153194,-0.120772,-0.08835,-0.068086,-0.04377,-0.011348,1
-0.100335,-0.114419,-0.147283,-0.180147,-0.208316,-0.2224,-0.2224,-0.203621,-0.180147,-0.161367,-0.137893,-0.10503,-0.053387,2
