@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute target {1,2}

@data
0.726939,1.100315,0.993636,0.6736,0.406903,-0.019812,-0.339848,-0.428747,-0.357628,-0.357628,-0.713223,-0.855462,-0.926581,-0.784342,-0.570985,-0.499866,-0.286508,-0.002032,0.140206,0.282445,0.63804,2
0.010129,-0.060775,0.506462,0.860986,0.222843,-0.060775,-0.13168,0.033764,0.033764,0.033764,0.033764,-0.249855,-0.722553,-0.817092,-0.438934,0.033764,0.033764,0.222843,0.033764,-0.060775,0.033764,1
0.611645,0.905705,0.964517,0.611645,0.376397,0.141149,-0.211723,-0.486179,-0.486179,-0.643011,-0.643012,-0.721428,-0.87826,-0.799844,-0.643011,-0.250931,0.062733,0.219565,0.454813,0.062733,0.219565,2
0.691103,0.924134,1.017347,0.784316,0.597891,0.271648,-0.101202,-0.536193,-0.598335,-0.660476,-0.846901,-0.909043,-0.78476,-0.909043,-0.722618,-0.474052,-0.03906,0.147364,0.209506,0.209506,0.333789,2
0.70206,1.166658,1.21828,0.96017,0.598815,-0.020649,-0.278759,-0.295966,-0.227137,-0.227137,-0.571284,-1.121919,-1.190748,-1.259578,-0.915431,-0.295966,-0.020649,-0.158308,-0.089478,0.11701,0.461157,1
0.822792,0.965827,0.727435,0.489043,0.441365,0.107617,-0.321488,-0.512202,-0.575773,-0.702915,-0.766486,-0.893628,-0.830057,-0.575773,-0.44863,-0.194346,0.059938,0.059938,0.187081,0.377794,0.504936,2
0.967727,0.967727,0.538987,0.485395,0.110247,-0.05053,-0.211308,-0.604319,-0.389949,-0.461406,-0.747232,-0.961602,-1.104516,-0.818689,-0.532862,-0.175579,0.181704,0.253161,0.253161,0.538987,0.824814,2
0.98026,1.025522,0.663421,0.527633,0.210795,0.075007,-0.241832,-0.649196,-0.528495,-0.649196,-0.830246,-0.890597,-0.769896,-0.769896,-0.588846,-0.287095,-0.166394,0.075007,0.256057,0.618158,0.859559,2
1.057761,0.99415,0.866928,0.676095,0.230817,-0.150849,-0.278071,-0.341682,-0.511312,-0.511312,-0.765756,-0.935385,-0.935385,-0.765756,-0.256867,-0.172053,-0.256867,-0.341682,-0.087238,0.506465,0.845724,2
0.456734,0.01514,0.456734,0.810008,0.72169,0.456734,-0.161497,-1.2802,-0.926925,-0.573651,-0.455893,-0.573651,-0.573651,-0.455893,-0.102618,0.368415,0.132899,-0.220376,0.132899,0.250657,0.603931,1
0.695278,0.913331,1.131384,0.913331,0.82611,0.520835,0.215561,-0.438598,-0.671188,-0.787483,-1.020073,-1.020073,-0.903778,-0.729336,-0.496746,-0.438598,-0.496746,-0.264156,-0.147861,0.142877,0.317319,2
0.606594,0.711958,0.764639,0.817321,1.028049,0.553912,0.185139,-0.253876,-0.183634,-0.113391,-0.253876,-0.815816,-1.237271,-1.026543,-0.745574,-0.043149,-0.043149,-0.113391,-0.324119,-0.675331,-0.394361,1
0.701543,0.859956,0.754348,0.595935,0.437522,0.120696,-0.143326,-0.336942,-0.477753,-0.618565,-0.900188,-1.041,-0.829782,-0.548159,-0.477753,-0.19613,0.085493,0.015087,-0.125725,0.367116,0.648739,2
0.70711,0.967624,0.863418,0.655007,0.238184,-0.178638,-0.282844,-0.45652,-0.45652,-0.52599,-0.734402,-0.942813,-1.012283,-0.803872,-0.52599,-0.248109,0.029773,0.307655,0.238184,0.446596,0.724477,2
0.688865,0.89852,0.688865,0.636451,0.32197,0.007488,-0.202167,-0.464235,-0.53412,-0.464235,-0.604005,-0.883544,-1.023314,-0.883544,-0.53412,-0.254581,0.024959,0.234613,0.094844,0.514153,0.723807,2
0.409659,0.648627,0.947337,0.827853,0.409659,-0.068277,-0.426729,-0.785181,-0.705525,-0.466557,-0.227589,-0.466557,-0.625869,-0.705525,-0.625869,-0.386901,-0.227589,0.170691,0.330003,0.409659,0.648627,2
0.490716,0.650484,0.970021,0.730368,0.490716,-0.068472,-0.308124,-0.388008,-0.281496,-0.707544,-0.49452,-0.707544,-0.707544,-0.601032,-0.174984,-0.388008,-0.49452,-0.49452,0.144552,0.5706,0.783624,1
0.856278,1.144448,0.74101,0.279937,-0.123502,-0.354038,-0.354038,-0.142713,0.010978,-0.142713,-0.603786,-0.988013,-0.988013,-0.911167,-0.757477,-0.219558,-0.065868,0.164669,0.164669,0.702587,0.856278,2
-0.082271,0.564143,0.975498,1.034262,0.740438,0.387848,-0.023506,-0.454449,-0.219389,-0.062683,-0.376095,-0.846215,-1.551394,-1.629747,-0.767861,-0.141036,0.25073,0.48579,0.407437,0.25073,-0.141036,1
0.984167,1.188392,0.916092,0.711868,0.439569,0.303419,0.03112,-0.649628,-0.468095,-0.558862,-0.740394,-1.10346,-1.10346,-0.740394,-0.649628,-0.468095,-0.286562,-0.195796,-0.014263,0.258036,0.621102,2
